buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,4,6,1,1,acc
vhigh,high,5more,more,med,high,unacc,212,4,12,1,1,acc
vhigh,high,5more,more,med,high,unacc,212,4,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,4,24,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,4,6,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,4,12,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,4,18,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,4,24,2,1,acc
high,low,4,2,med,med,unacc,814,4,6,1,1,unacc
high,low,4,2,med,med,unacc,814,4,12,1,1,unacc
high,low,4,2,med,med,unacc,814,4,18,1,1,unacc
high,low,4,2,med,med,unacc,814,4,24,1,1,unacc
high,low,4,2,med,med,unacc,814,4,6,2,1,unacc
high,low,4,2,med,med,unacc,814,4,12,2,1,unacc
high,low,4,2,med,med,unacc,814,4,18,2,1,unacc
high,low,4,2,med,med,unacc,814,4,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,4,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,4,24,2,1,unacc
high,med,4,2,small,high,unacc,704,4,6,1,1,unacc
high,med,4,2,small,high,unacc,704,4,12,1,1,unacc
high,med,4,2,small,high,unacc,704,4,18,1,1,unacc
high,med,4,2,small,high,unacc,704,4,24,1,1,unacc
high,med,4,2,small,high,unacc,704,4,6,2,1,unacc
high,med,4,2,small,high,unacc,704,4,12,2,1,unacc
high,med,4,2,small,high,unacc,704,4,18,2,1,unacc
high,med,4,2,small,high,unacc,704,4,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,6,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,12,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,18,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,4,24,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,6,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,12,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,18,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,24,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,6,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,12,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,18,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,4,24,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,6,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,12,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,18,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,24,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,6,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,12,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,18,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,4,24,2,1,unacc
med,med,2,2,small,high,unacc,1082,4,6,1,1,unacc
med,med,2,2,small,high,unacc,1082,4,12,1,1,unacc
med,med,2,2,small,high,unacc,1082,4,18,1,1,unacc
med,med,2,2,small,high,unacc,1082,4,24,1,1,unacc
med,med,2,2,small,high,unacc,1082,4,6,2,1,unacc
med,med,2,2,small,high,unacc,1082,4,12,2,1,unacc
med,med,2,2,small,high,unacc,1082,4,18,2,1,unacc
med,med,2,2,small,high,unacc,1082,4,24,2,1,unacc
low,vhigh,3,4,med,med,unacc,1336,4,6,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,12,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,18,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,24,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,6,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,12,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,4,18,2,1,acc
