buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,1,6,1,1,acc
vhigh,high,5more,more,med,high,unacc,212,1,12,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,1,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,1,24,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,1,6,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,1,12,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,1,18,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,1,24,2,1,unacc
high,low,4,2,med,med,unacc,814,1,6,1,1,unacc
high,low,4,2,med,med,unacc,814,1,12,1,1,unacc
high,low,4,2,med,med,unacc,814,1,18,1,1,unacc
high,low,4,2,med,med,unacc,814,1,24,1,1,unacc
high,low,4,2,med,med,unacc,814,1,6,2,1,unacc
high,low,4,2,med,med,unacc,814,1,12,2,1,unacc
high,low,4,2,med,med,unacc,814,1,18,2,1,unacc
high,low,4,2,med,med,unacc,814,1,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,1,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,1,24,2,1,unacc
high,med,4,2,small,high,unacc,704,1,6,1,1,unacc
high,med,4,2,small,high,unacc,704,1,12,1,1,unacc
high,med,4,2,small,high,unacc,704,1,18,1,1,unacc
high,med,4,2,small,high,unacc,704,1,24,1,1,unacc
high,med,4,2,small,high,unacc,704,1,6,2,1,unacc
high,med,4,2,small,high,unacc,704,1,12,2,1,unacc
high,med,4,2,small,high,unacc,704,1,18,2,1,unacc
high,med,4,2,small,high,unacc,704,1,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,6,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,12,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,18,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,1,24,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,6,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,12,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,18,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,24,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,6,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,12,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,1,18,2,1,unacc
