buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,3,6,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,12,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,24,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,6,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,12,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,3,18,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,3,24,2,1,unacc
high,low,4,2,med,med,unacc,814,3,6,1,1,unacc
high,low,4,2,med,med,unacc,814,3,12,1,1,unacc
high,low,4,2,med,med,unacc,814,3,18,1,1,unacc
high,low,4,2,med,med,unacc,814,3,24,1,1,unacc
high,low,4,2,med,med,unacc,814,3,6,2,1,unacc
high,low,4,2,med,med,unacc,814,3,12,2,1,unacc
high,low,4,2,med,med,unacc,814,3,18,2,1,unacc
high,low,4,2,med,med,unacc,814,3,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,3,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,3,24,2,1,unacc
high,med,4,2,small,high,unacc,704,3,6,1,1,unacc
high,med,4,2,small,high,unacc,704,3,12,1,1,unacc
high,med,4,2,small,high,unacc,704,3,18,1,1,unacc
high,med,4,2,small,high,unacc,704,3,24,1,1,unacc
high,med,4,2,small,high,unacc,704,3,6,2,1,unacc
high,med,4,2,small,high,unacc,704,3,12,2,1,unacc
high,med,4,2,small,high,unacc,704,3,18,2,1,unacc
high,med,4,2,small,high,unacc,704,3,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,6,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,12,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,18,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,3,24,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,6,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,12,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,18,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,24,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,6,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,12,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,18,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,3,24,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,6,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,12,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,18,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,24,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,6,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,12,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,18,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,3,24,2,1,unacc
med,med,2,2,small,high,unacc,1082,3,6,1,1,unacc
med,med,2,2,small,high,unacc,1082,3,12,1,1,unacc
med,med,2,2,small,high,unacc,1082,3,18,1,1,unacc
med,med,2,2,small,high,unacc,1082,3,24,1,1,unacc
med,med,2,2,small,high,unacc,1082,3,6,2,1,unacc
med,med,2,2,small,high,unacc,1082,3,12,2,1,unacc
med,med,2,2,small,high,unacc,1082,3,18,2,1,unacc
med,med,2,2,small,high,unacc,1082,3,24,2,1,unacc
low,vhigh,3,4,med,med,unacc,1336,3,6,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,12,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,18,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,24,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,6,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,12,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,18,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,3,24,2,1,acc
low,vhigh,2,2,big,med,unacc,1303,3,6,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,12,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,18,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,24,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,6,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,12,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,18,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,3,24,2,1,unacc
vhigh,low,3,2,small,low,unacc,351,3,6,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,3,12,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,3,18,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,3,24,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,3,6,2,1,unacc
