buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,5,6,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,12,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,24,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,6,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,12,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,18,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,5,24,2,1,unacc
high,low,4,2,med,med,unacc,814,5,6,1,1,unacc
high,low,4,2,med,med,unacc,814,5,12,1,1,unacc
high,low,4,2,med,med,unacc,814,5,18,1,1,unacc
high,low,4,2,med,med,unacc,814,5,24,1,1,unacc
high,low,4,2,med,med,unacc,814,5,6,2,1,unacc
high,low,4,2,med,med,unacc,814,5,12,2,1,unacc
high,low,4,2,med,med,unacc,814,5,18,2,1,unacc
high,low,4,2,med,med,unacc,814,5,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,5,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,5,24,2,1,unacc
high,med,4,2,small,high,unacc,704,5,6,1,1,unacc
high,med,4,2,small,high,unacc,704,5,12,1,1,unacc
high,med,4,2,small,high,unacc,704,5,18,1,1,unacc
high,med,4,2,small,high,unacc,704,5,24,1,1,unacc
high,med,4,2,small,high,unacc,704,5,6,2,1,unacc
high,med,4,2,small,high,unacc,704,5,12,2,1,unacc
high,med,4,2,small,high,unacc,704,5,18,2,1,unacc
high,med,4,2,small,high,unacc,704,5,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,6,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,12,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,18,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,5,24,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,6,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,12,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,18,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,24,1,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,6,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,12,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,18,2,1,unacc
vhigh,high,5more,2,small,med,unacc,190,5,24,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,6,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,12,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,18,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,24,1,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,6,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,12,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,18,2,1,unacc
vhigh,low,3,4,big,low,unacc,366,5,24,2,1,unacc
med,med,2,2,small,high,unacc,1082,5,6,1,1,unacc
med,med,2,2,small,high,unacc,1082,5,12,1,1,unacc
med,med,2,2,small,high,unacc,1082,5,18,1,1,unacc
med,med,2,2,small,high,unacc,1082,5,24,1,1,unacc
med,med,2,2,small,high,unacc,1082,5,6,2,1,unacc
med,med,2,2,small,high,unacc,1082,5,12,2,1,unacc
med,med,2,2,small,high,unacc,1082,5,18,2,1,unacc
med,med,2,2,small,high,unacc,1082,5,24,2,1,unacc
low,vhigh,3,4,med,med,unacc,1336,5,6,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,12,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,18,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,24,1,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,6,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,12,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,18,2,1,acc
low,vhigh,3,4,med,med,unacc,1336,5,24,2,1,acc
low,vhigh,2,2,big,med,unacc,1303,5,6,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,12,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,18,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,24,1,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,6,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,12,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,18,2,1,unacc
low,vhigh,2,2,big,med,unacc,1303,5,24,2,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,6,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,12,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,18,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,24,1,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,6,2,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,12,2,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,18,2,1,unacc
vhigh,low,3,2,small,low,unacc,351,5,24,2,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,6,1,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,12,1,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,18,1,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,24,1,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,6,2,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,12,2,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,18,2,1,unacc
vhigh,high,4,4,med,med,unacc,175,5,24,2,1,unacc
high,high,5more,4,big,low,unacc,636,5,6,1,1,unacc
high,high,5more,4,big,low,unacc,636,5,12,1,1,unacc
high,high,5more,4,big,low,unacc,636,5,18,1,1,unacc
high,high,5more,4,big,low,unacc,636,5,24,1,1,unacc
high,high,5more,4,big,low,unacc,636,5,6,2,1,unacc
high,high,5more,4,big,low,unacc,636,5,12,2,1,unacc
high,high,5more,4,big,low,unacc,636,5,18,2,1,unacc
high,high,5more,4,big,low,unacc,636,5,24,2,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,6,1,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,12,1,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,18,1,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,24,1,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,6,2,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,12,2,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,18,2,1,unacc
med,vhigh,3,more,small,low,unacc,909,5,24,2,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,6,1,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,12,1,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,18,1,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,24,1,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,6,2,1,unacc
low,vhigh,5more,2,med,med,unacc,1381,5,12,2,1,unacc
