buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,2,6,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,12,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,24,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,6,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,12,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,18,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,2,24,2,1,unacc
high,low,4,2,med,med,unacc,814,2,6,1,1,unacc
high,low,4,2,med,med,unacc,814,2,12,1,1,unacc
high,low,4,2,med,med,unacc,814,2,18,1,1,unacc
high,low,4,2,med,med,unacc,814,2,24,1,1,unacc
high,low,4,2,med,med,unacc,814,2,6,2,1,unacc
high,low,4,2,med,med,unacc,814,2,12,2,1,unacc
high,low,4,2,med,med,unacc,814,2,18,2,1,unacc
high,low,4,2,med,med,unacc,814,2,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,2,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,2,24,2,1,unacc
high,med,4,2,small,high,unacc,704,2,6,1,1,unacc
high,med,4,2,small,high,unacc,704,2,12,1,1,unacc
high,med,4,2,small,high,unacc,704,2,18,1,1,unacc
high,med,4,2,small,high,unacc,704,2,24,1,1,unacc
high,med,4,2,small,high,unacc,704,2,6,2,1,unacc
high,med,4,2,small,high,unacc,704,2,12,2,1,unacc
high,med,4,2,small,high,unacc,704,2,18,2,1,unacc
high,med,4,2,small,high,unacc,704,2,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,6,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,12,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,2,18,2,1,unacc
