nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,physician-fee-freeze,,democrat,1,"{'y': np.int64(2), 'n': np.int64(3), '?': np.int64(4)}",True,False,,['physician-fee-freeze'],
2,1.0,synfuels-corporation-cutback,,republican,2,"{'?': np.int64(5), 'n': np.int64(6), 'y': np.int64(7)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback']",
3,1.0,adoption-of-the-budget-resolution,,democrat,2,"{'n': np.int64(8), 'y': np.int64(9), '?': np.int64(10)}",False,True,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']",
4,1.0,handicapped-infants,,democrat,2,"{'n': np.int64(11), '?': np.int64(12), 'y': np.int64(13)}",False,True,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'handicapped-infants']",
5,2.0,aid-to-nicaraguan-contras,,republican,3,"{'?': np.int64(14), 'y': np.int64(15)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras']",
6,2.0,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17), '?': np.int64(18)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']",
7,2.0,immigration,,republican,3,"{'y': np.int64(19), 'n': np.int64(20)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration']",
19,7.0,mx-missile,,republican,4,"{'n': np.int64(35), 'y': np.int64(36)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']",
20,7.0,mx-missile,,democrat,4,"{'n': np.int64(37), 'y': np.int64(38)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']",
37,20.0,handicapped-infants,,republican,5,"{'n': np.int64(61), 'y': np.int64(62)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants']",
38,20.0,aid-to-nicaraguan-contras,,democrat,5,"{'n': np.int64(63), 'y': np.int64(64)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']",
61,37.0,export-administration-act-south-africa,,republican,6,"{'n': np.int64(95), '?': np.int64(96)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n' & `handicapped-infants`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants', 'export-administration-act-south-africa']",
62,37.0,export-administration-act-south-africa,,democrat,6,"{'y': np.int64(97), '?': np.int64(98)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n' & `handicapped-infants`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants', 'export-administration-act-south-africa']",
