nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,physician-fee-freeze,,democrat,1,"{'y': np.int64(2), '?': np.int64(3), 'n': np.int64(4)}",True,False,,['physician-fee-freeze'],
2,1.0,synfuels-corporation-cutback,,republican,2,"{'n': np.int64(5), 'y': np.int64(6), '?': np.int64(7)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback']",
3,1.0,export-administration-act-south-africa,,democrat,2,"{'?': np.int64(8), 'y': np.int64(9)}",False,True,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'export-administration-act-south-africa']",
4,1.0,mx-missile,,democrat,2,"{'y': np.int64(10), 'n': np.int64(11), '?': np.int64(12)}",False,True,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'mx-missile']",
5,2.0,superfund-right-to-sue,,republican,3,"{'y': np.int64(13), 'n': np.int64(14), '?': np.int64(15)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'superfund-right-to-sue']",
6,2.0,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']",
7,2.0,,,republican,3,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback']",
16,6.0,adoption-of-the-budget-resolution,,republican,4,"{'n': np.int64(37), 'y': np.int64(38)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'adoption-of-the-budget-resolution']",
17,6.0,,,democrat,4,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `mx-missile`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']",
37,16.0,superfund-right-to-sue,,republican,5,"{'y': np.int64(70), 'n': np.int64(71)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `mx-missile`=='n' & `adoption-of-the-budget-resolution`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'adoption-of-the-budget-resolution', 'superfund-right-to-sue']",
38,16.0,export-administration-act-south-africa,,democrat,5,"{'y': np.int64(72), 'n': np.int64(73)}",False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `mx-missile`=='n' & `adoption-of-the-budget-resolution`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'adoption-of-the-budget-resolution', 'export-administration-act-south-africa']",
