treeNum,rawAccuracy,prunedAccuracy,nullAccuracy
1,0.5060025909756999,0.41571171948831026,99.65743510320206
2,0.5804007628829648,0.4810349925147053,99.65743510320206
3,0.6218187582523355,0.5138658621257144,99.65743510320206
4,0.5888613931267063,0.47755225071297946,99.65743510320206
5,0.48596496566182956,0.4026194047470091,99.65743510320208
6,0.5166028907217912,0.46718657883855785,99.65743510320208
7,0.5974809887383759,0.5420434168343933,99.65743510320206
8,0.48660700925520667,0.44277485158565927,99.65743510320206
9,0.5406720974911008,0.46264333878441866,99.65743510320208
10,0.48725803623628855,0.4108025839329012,99.65743510320206
