treeNum,rawAccuracy,prunedAccuracy,nullAccuracy
1,0.8857142857142857,0.9428571428571428,0.6114285714285714
2,0.9367816091954023,0.9712643678160919,0.6149425287356322
3,0.9028571428571428,0.96,0.6114285714285714
4,0.8908045977011494,0.9540229885057471,0.6149425287356322
5,0.9371428571428572,0.96,0.6114285714285714
6,0.8793103448275862,0.9425287356321839,0.6149425287356322
7,0.9371428571428572,0.9657142857142857,0.6114285714285714
8,0.8850574712643678,0.9712643678160919,0.6149425287356322
9,0.8742857142857143,0.9485714285714286,0.6114285714285714
10,0.8850574712643678,0.9425287356321839,0.6149425287356322
