Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?,400,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,121,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,84,1
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,148,1
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,119,1
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,1
republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,71,1
republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,267,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,434,1
republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,51,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,106,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,211,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,278,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,14,1
republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,239,1
republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,36,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,1
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,107,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,33,1
republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?,335,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,206,1
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,214,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,55,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,230,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,405,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,276,1
republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,204,1
republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,314,1
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,61,1
