buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
vhigh,vhigh,3,4,big,low,unacc,42,1
low,med,2,2,med,med,unacc,1516,1
low,high,2,2,med,med,unacc,1408,1
high,vhigh,5more,2,small,low,unacc,513,1
med,high,2,4,med,low,unacc,984,1
vhigh,med,5more,2,med,low,unacc,300,1
high,high,2,more,med,med,unacc,562,1
low,low,2,2,big,high,unacc,1628,1
high,med,2,more,med,low,unacc,669,1
med,vhigh,3,2,med,high,unacc,896,1
med,low,4,4,med,low,unacc,1254,1
vhigh,high,2,2,small,med,unacc,109,1
vhigh,vhigh,4,more,med,high,unacc,77,1
high,low,2,4,med,med,unacc,769,1
vhigh,vhigh,2,more,big,med,unacc,25,1
low,med,4,more,med,low,unacc,1587,1
low,med,5more,2,med,high,unacc,1598,1
high,med,2,2,small,high,unacc,650,1
vhigh,low,3,2,small,med,unacc,352,1
vhigh,low,5more,2,big,high,unacc,413,1
vhigh,low,3,more,med,low,unacc,372,1
med,high,2,more,small,med,unacc,991,1
vhigh,low,2,more,small,high,unacc,344,1
vhigh,high,2,4,med,high,unacc,122,1
low,med,4,2,small,med,unacc,1567,1
high,low,2,2,big,low,unacc,762,1
high,low,4,2,med,med,unacc,814,1
vhigh,high,4,more,med,med,unacc,184,1
low,med,4,2,small,high,unacc,1568,1
high,vhigh,5more,4,big,high,unacc,530,1
high,low,5more,2,big,med,unacc,844,1
med,vhigh,2,2,big,med,unacc,871,1
low,med,2,2,small,low,unacc,1512,1
med,vhigh,5more,more,small,med,unacc,964,1
med,med,4,2,med,high,unacc,1139,1
vhigh,low,4,2,small,low,unacc,378,1
vhigh,med,5more,4,med,low,unacc,309,1
high,vhigh,4,4,big,low,unacc,501,1
high,high,4,2,med,low,unacc,597,1
high,low,5more,2,small,med,unacc,838,1
high,vhigh,2,more,big,low,unacc,456,1
med,vhigh,4,2,small,low,unacc,918,1
low,low,5more,2,med,low,unacc,1704,1
low,high,2,2,med,high,unacc,1409,1
low,low,3,4,big,low,unacc,1662,1
vhigh,low,5more,4,med,low,unacc,417,1
vhigh,high,4,more,med,low,unacc,183,1
vhigh,med,4,4,small,med,unacc,280,1
low,high,3,4,big,low,unacc,1446,1
low,low,4,2,med,high,unacc,1679,1
low,high,4,2,big,low,unacc,1464,1
low,low,5more,more,small,low,unacc,1719,1
med,med,3,more,big,low,unacc,1131,1
low,med,3,2,small,high,unacc,1541,1
high,high,3,more,small,low,unacc,585,1
med,high,4,2,big,med,unacc,1033,1
high,vhigh,2,4,small,high,unacc,443,1
high,med,2,4,big,low,unacc,663,1
vhigh,high,5more,2,small,med,unacc,190,1
vhigh,high,4,2,small,low,unacc,162,1
vhigh,low,4,2,small,med,unacc,379,1
high,vhigh,4,2,med,high,unacc,491,1
vhigh,vhigh,3,more,big,low,unacc,51,1
high,vhigh,3,2,med,med,unacc,463,1
low,low,4,more,big,low,unacc,1698,1
vhigh,med,3,4,med,med,unacc,256,1
high,high,4,2,small,med,unacc,595,1
high,med,4,4,med,low,unacc,714,1
med,low,5more,more,med,low,unacc,1290,1
vhigh,low,5more,4,big,low,unacc,420,1
vhigh,med,2,4,small,med,unacc,226,1
low,low,2,2,big,med,unacc,1627,1
med,med,2,2,big,med,unacc,1087,1
high,high,5more,4,small,low,unacc,630,1
vhigh,vhigh,5more,4,med,med,unacc,94,1
med,high,3,2,big,low,unacc,1005,1
med,high,2,2,med,low,unacc,975,1
low,vhigh,4,4,med,low,unacc,1362,1
high,med,2,2,big,low,unacc,654,1
high,med,3,4,med,med,unacc,688,1
vhigh,med,3,4,small,med,unacc,253,1
low,high,3,2,med,high,unacc,1436,1
high,high,4,2,med,med,unacc,598,1
vhigh,med,5more,2,big,low,unacc,303,1
med,vhigh,2,2,small,med,unacc,865,1
high,med,3,2,small,med,unacc,676,1
med,vhigh,4,2,big,high,unacc,926,1
high,vhigh,3,2,big,low,unacc,465,1
low,med,2,more,big,low,unacc,1536,1
low,med,3,2,med,high,unacc,1544,1
med,vhigh,5more,4,big,low,unacc,960,1
vhigh,high,4,4,big,high,unacc,179,1
med,vhigh,2,2,med,high,unacc,869,1
high,vhigh,4,4,small,high,unacc,497,1
vhigh,high,3,4,med,low,unacc,147,1
med,low,5more,more,big,low,unacc,1293,1
med,low,5more,2,small,high,unacc,1271,1
med,vhigh,2,more,med,med,unacc,886,1
high,high,5more,more,big,low,unacc,645,1
high,low,5more,more,small,low,unacc,855,1
low,low,2,2,small,high,unacc,1622,1
low,med,5more,more,med,low,unacc,1614,1
vhigh,high,3,more,small,low,unacc,153,1
vhigh,vhigh,5more,more,small,high,unacc,101,1
vhigh,vhigh,4,2,small,high,unacc,56,1
high,vhigh,3,more,med,high,unacc,482,1
high,med,4,more,big,low,unacc,726,1
vhigh,med,4,2,med,high,unacc,275,1
high,low,4,more,small,low,unacc,828,1
high,med,2,2,med,low,unacc,651,1
vhigh,vhigh,5more,more,med,med,unacc,103,1
high,vhigh,4,2,big,med,unacc,493,1
vhigh,vhigh,2,more,big,low,unacc,24,1
low,low,2,more,small,low,unacc,1638,1
vhigh,med,3,2,med,low,unacc,246,1
high,vhigh,4,4,small,low,unacc,495,1
low,low,3,more,med,low,unacc,1668,1
high,vhigh,4,more,small,low,unacc,504,1
med,low,3,more,small,low,unacc,1233,1
vhigh,vhigh,5more,2,med,med,unacc,85,1
med,high,5more,2,small,low,unacc,1053,1
vhigh,vhigh,5more,2,big,low,unacc,87,1
vhigh,high,4,4,med,med,unacc,175,1
high,high,5more,2,med,low,unacc,624,1
vhigh,high,3,2,small,high,unacc,137,1
vhigh,high,4,4,med,low,unacc,174,1
high,vhigh,3,more,big,med,unacc,484,1
vhigh,high,2,more,med,high,unacc,131,1
vhigh,high,5more,more,med,low,unacc,210,1
med,vhigh,2,more,small,high,unacc,884,1
high,high,2,2,med,low,unacc,543,1
low,low,2,4,med,low,unacc,1632,1
med,low,2,4,big,low,unacc,1203,1
vhigh,vhigh,3,2,big,low,unacc,33,1
vhigh,high,4,4,big,low,unacc,177,1
vhigh,vhigh,4,more,small,med,unacc,73,1
high,low,3,2,big,high,unacc,791,1
med,high,5more,4,small,med,unacc,1063,1
vhigh,vhigh,2,4,big,med,unacc,16,1
med,vhigh,5more,more,big,low,unacc,969,1
low,high,2,4,small,low,unacc,1413,1
high,vhigh,2,2,small,low,unacc,432,1
high,med,4,2,small,low,unacc,702,1
high,high,5more,4,small,med,unacc,631,1
vhigh,high,3,more,med,med,unacc,157,1
vhigh,med,3,more,small,med,unacc,262,1
med,low,5more,4,med,low,unacc,1281,1
high,vhigh,4,more,small,med,unacc,505,1
low,high,3,more,big,low,unacc,1455,1
med,vhigh,4,4,small,med,unacc,928,1
low,med,4,2,big,med,unacc,1573,1
med,med,2,2,med,med,unacc,1084,1
vhigh,high,4,2,small,med,unacc,163,1
med,med,4,2,small,low,unacc,1134,1
high,high,3,2,big,low,unacc,573,1
low,low,2,2,big,low,unacc,1626,1
vhigh,low,3,2,med,med,unacc,355,1
vhigh,med,5more,more,small,med,unacc,316,1
low,low,4,more,small,low,unacc,1692,1
low,vhigh,4,2,big,med,unacc,1357,1
vhigh,med,5more,more,small,low,unacc,315,1
vhigh,vhigh,4,4,big,med,unacc,70,1
high,med,3,2,med,low,unacc,678,1
med,low,5more,2,big,med,unacc,1276,1
high,med,4,4,small,low,unacc,711,1
high,vhigh,3,4,big,high,unacc,476,1
vhigh,vhigh,5more,more,small,med,unacc,100,1
low,low,5more,4,big,low,unacc,1716,1
vhigh,vhigh,4,4,med,med,unacc,67,1
high,high,2,4,med,med,unacc,553,1
med,high,5more,2,med,low,unacc,1056,1
low,vhigh,4,2,big,high,unacc,1358,1
high,vhigh,4,2,small,high,unacc,488,1
high,vhigh,3,4,big,med,unacc,475,1
vhigh,med,4,2,med,med,unacc,274,1
low,high,3,2,big,low,unacc,1437,1
low,low,3,2,small,high,unacc,1649,1
med,low,3,2,med,low,unacc,1218,1
med,med,5more,2,small,low,unacc,1161,1
high,low,5more,4,small,low,unacc,846,1
high,med,5more,4,med,low,unacc,741,1
high,med,4,more,med,low,unacc,723,1
low,vhigh,5more,4,big,low,unacc,1392,1
vhigh,med,2,2,small,low,unacc,216,1
med,low,5more,2,med,high,unacc,1274,1
high,low,4,2,big,med,unacc,817,1
vhigh,high,3,more,small,high,unacc,155,1
vhigh,med,5more,2,big,med,unacc,304,1
vhigh,low,5more,2,med,low,unacc,408,1
