Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum,set
M,0.4283526813685578,0.3792424812346879,0.15203793507925167,0.10075044580753677,0.09588000507184742,-0.162415130800185,0.23393880097532893,0.029404654156879904,1903,1
I,-1.3515701276977747,-1.3800972915114615,-1.266545458165277,-1.2083454029761533,-1.0735267752076578,-1.2323657058200261,-1.3138254795103728,-0.5965211687239669,2818,1
I,-2.965918721967239,-2.8881028110081615,-2.2982424714340253,-1.637257241630437,-1.5804950325542642,-1.5859934382418377,-1.6175923009141084,-2.161335725926084,3472,1
M,1.3390108627513335,1.2840457929327078,0.40996218839643894,1.1344076493890687,1.3666804368206737,0.31815589018330276,1.2284135139042256,0.029404654156879904,1974,1
M,-0.3581248389165658,-0.37476027851366206,-0.10588631823793491,-0.3962587700738488,-0.06184345276931913,-0.7064577960645109,-0.5544084260010331,-0.9094840801643903,2517,1
M,1.3804044164505498,0.9824446890333677,1.570621328323781,2.125376944858089,2.409908450827246,2.013755530257119,1.7527729079940078,0.029404654156879904,1045,1
M,1.049255986856814,0.9321778383834777,0.023075808420658733,0.8366086713660706,1.1638931338820315,0.5085708230258168,0.5955659693131096,-0.5965211687239669,2081,1
I,0.2213849128724733,0.17817507863512774,0.2810000617378453,-0.12183650363627398,-0.08662856757293076,-0.030938153361306377,-0.20001380103000813,-0.5965211687239669,1615,1
I,0.34556557397012366,0.27870877993490784,0.15203793507925167,0.03671858363876937,0.1769949262473045,-0.19415095294060403,0.12545065047399462,-0.2835582572835435,1891,1
M,1.007862433157597,1.0327115396832578,1.3126970750065938,1.3417489173641248,1.2900719001549643,1.0571471771673453,1.354983022822449,0.6553304770377267,3691,1
F,1.2562237553528994,1.0327115396832578,0.2810000617378453,0.7522492339056308,0.5262397257527442,1.1296861992025888,1.0729138315189801,0.3423675655973033,4101,1
M,-0.10976351672126333,-0.17369287591410193,-0.10588631823793491,-0.11675460981335581,0.15896938820831402,-0.307493174870672,-0.34466466836512033,-0.5965211687239669,965,1
I,0.05581069807560499,0.22844192928501778,0.023075808420658733,-0.30376830249674003,-0.271390332472583,-0.751794684836538,-0.05536293369489571,-0.5965211687239669,1870,1
I,-1.0204216981040382,-0.9779624863123418,-1.0086212048480898,-1.4217849435387115,-1.1366161583441245,-0.9830128175738766,-1.1040817218744599,-0.9094840801643903,2127,1
M,-1.9310798794868136,-1.8324989473604716,-1.524469711482464,-1.4167030497157935,-1.373201345105874,-1.391044816522121,-1.3933834565446843,0.029404654156879904,2403,1
F,0.9250753257591627,0.9321778383834777,1.0547728216894066,0.8742146856556641,0.8146483343765916,1.0208776661497236,0.8125422703157779,0.029404654156879904,4054,1
F,1.2562237553528994,1.635913747481937,2.2154319616167486,1.5460410490454306,1.7159252363261137,1.0888829993077644,1.4273084564900052,0.029404654156879904,1041,1
M,0.8836817720599457,1.0829783903331478,0.79684856837222,1.135424028153652,1.2495144395672357,1.0526134882901426,1.0295185713184465,0.3423675655973033,3618,1
I,-1.1446023592016894,-1.179029888911902,-1.266545458165277,-1.2083454029761533,-1.2289970407939503,-1.1779614392935933,-1.140244438708238,-0.9094840801643903,2113,1
I,0.2213849128724733,0.17817507863512774,-0.10588631823793491,-0.19501577468629377,-0.11592006688629027,-0.22588677508102306,-0.16385108419623,-0.2835582572835435,1315,1
F,0.6767140035638602,0.47977618253446797,0.15203793507925167,0.3070753350180097,0.49469503418451116,-0.01733708672969822,0.270101517809107,-0.2835582572835435,1662,1
M,0.5939268961654262,0.9321778383834777,0.6678864417136262,0.47477783117430544,0.19727365654116877,0.9120691330968588,0.270101517809107,0.3423675655973033,3248,1
F,-0.10976351672126333,-0.274226577213882,-0.23484844489652856,-0.49281475270929176,-0.6048627861939062,-0.39816695241472616,-0.38082738519889847,0.9682933884781502,3351,1
F,0.511139788766992,0.580309883834248,0.15203793507925167,0.3233373952513475,0.33471838408847077,0.31815589018330276,0.33881067979328505,0.029404654156879904,3668,1
M,-0.3167312852173487,-0.17369287591410193,-0.10588631823793491,-0.4257337542467734,-0.4876967889404683,-0.4072343301691316,-0.5363270675841441,-0.5965211687239669,2058,1
M,0.6767140035638602,0.8316441370836977,1.0547728216894066,0.8142483385452314,0.5487716483014823,0.9755407773776964,0.8125422703157779,2.533107945680267,360,1
F,0.13859780547403916,0.1279082279852377,-0.23484844489652856,-0.15436062410294954,0.04405658320974984,-0.10801086427375235,-0.3844436568822763,-0.2835582572835435,2067,1
I,-1.392963681396992,-1.3298304408615715,-1.3955075848238703,-1.23273849332616,-1.1997055414805908,-1.0827539728723363,-0.633966403035345,-0.5965211687239669,193,1
I,-2.758950953471154,-2.6870354084086014,-2.8140909780683994,-1.615913287574181,-1.557963110005526,-1.581459749364635,-1.6429062026977532,-2.161335725926084,2711,1
