Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,30,1
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140,1
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,166,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113,1
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,1
republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,277,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,38,1
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,28,1
republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,413,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,1
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,278,1
republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,364,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,306,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135,1
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,409,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,405,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,1
republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,188,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,133,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87,1
republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,71,1
