Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,279,2
republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,231,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,146,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,310,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,15,2
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,2
republican,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n,155,2
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,7,2
republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y,353,2
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171,2
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,166,2
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302,2
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,2
republican,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?,393,2
republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,340,2
republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,363,2
republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,392,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,409,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,61,2
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,2
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?,190,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,306,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,58,2
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,56,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,132,2
republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,188,2
