Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,377,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,330,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,121,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,133,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,136,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,230,1
republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,18,1
republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,267,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,214,1
republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?,335,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,379,1
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,28,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,412,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,346,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,33,1
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,107,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304,1
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,167,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150,1
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433,1
republican,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n,399,1
republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,123,1
republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,89,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,1
republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,277,1
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140,1
republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,324,1
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,266,1
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163,1
republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,71,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,1
republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,51,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,434,1
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,1
republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,343,1
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y,257,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135,1
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,57,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,83,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111,1
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347,1
republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?,400,1
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,416,1
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,30,1
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273,1
republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,204,1
republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,413,1
republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,207,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,122,1
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,369,1
republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,364,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,119,1
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355,1
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y,141,1
republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,36,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,405,1
republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,120,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,211,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,403,1
republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,296,1
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,256,1
democrat,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?,389,1
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,236,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,263,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,259,1
democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y,252,1
democrat,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n,2,1
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,181,1
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,220,1
democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?,387,1
democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,183,1
democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?,221,1
democrat,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?,112,1
democrat,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?,297,1
democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?,371,1
democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,97,1
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,26,1
democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y,424,1
