buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
high,vhigh,4,4,small,med,unacc,496,2
vhigh,vhigh,4,4,big,med,unacc,70,2
med,low,5more,4,big,low,unacc,1284,2
high,high,3,more,small,med,unacc,586,2
vhigh,vhigh,4,more,small,med,unacc,73,2
vhigh,low,5more,2,med,med,unacc,409,2
high,vhigh,2,4,med,med,unacc,445,2
high,vhigh,3,4,med,low,unacc,471,2
vhigh,high,4,2,big,low,unacc,168,2
med,low,2,2,small,high,unacc,1190,2
vhigh,med,3,2,med,high,unacc,248,2
vhigh,vhigh,4,more,big,med,unacc,79,2
vhigh,vhigh,4,more,med,med,unacc,76,2
high,vhigh,3,more,med,low,unacc,480,2
vhigh,med,3,4,med,med,unacc,256,2
vhigh,low,3,2,med,low,unacc,354,2
high,med,4,2,small,low,unacc,702,2
med,low,3,2,big,med,unacc,1222,2
vhigh,med,5more,2,med,high,unacc,302,2
vhigh,low,3,more,small,low,unacc,369,2
high,vhigh,3,4,small,low,unacc,468,2
vhigh,med,5more,4,small,med,unacc,307,2
vhigh,vhigh,5more,4,big,med,unacc,97,2
high,vhigh,4,4,med,med,unacc,499,2
vhigh,med,2,2,med,high,unacc,221,2
vhigh,high,5more,more,small,high,unacc,209,2
high,low,2,4,med,med,unacc,769,2
low,low,3,2,big,high,unacc,1655,2
low,med,2,2,big,low,unacc,1518,2
vhigh,med,4,4,small,med,unacc,280,2
low,low,2,more,big,low,unacc,1644,2
vhigh,med,3,2,big,med,unacc,250,2
vhigh,high,3,more,big,high,unacc,161,2
vhigh,med,3,more,med,low,unacc,264,2
low,high,2,2,small,low,unacc,1404,2
high,vhigh,2,2,med,med,unacc,436,2
low,low,5more,2,small,med,unacc,1702,2
vhigh,low,2,4,med,med,unacc,337,2
low,high,2,4,med,low,unacc,1416,2
low,med,2,2,small,low,unacc,1512,2
low,vhigh,4,more,med,low,unacc,1371,2
med,low,5more,more,med,low,unacc,1290,2
med,vhigh,4,2,big,high,unacc,926,2
high,vhigh,4,4,small,low,unacc,495,2
high,vhigh,5more,2,big,high,unacc,521,2
high,med,4,4,small,med,unacc,712,2
med,med,4,2,small,med,unacc,1135,2
vhigh,high,2,more,med,med,unacc,130,2
med,med,2,more,med,low,unacc,1101,2
low,vhigh,2,more,big,low,unacc,1320,2
