buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
vhigh,vhigh,2,4,med,med,unacc,13,1
high,med,5more,more,small,med,unacc,748,1
vhigh,high,2,more,med,low,unacc,129,1
med,vhigh,2,more,big,low,unacc,888,1
high,high,2,more,big,low,unacc,564,1
high,vhigh,2,4,small,low,unacc,441,1
high,high,4,2,small,med,unacc,595,1
high,high,3,more,small,med,unacc,586,1
med,low,5more,2,big,high,unacc,1277,1
med,vhigh,3,more,small,med,unacc,910,1
med,med,3,2,small,low,unacc,1107,1
low,vhigh,4,2,big,high,unacc,1358,1
high,low,2,4,small,low,unacc,765,1
vhigh,vhigh,3,more,big,low,unacc,51,1
vhigh,high,4,4,small,high,unacc,173,1
vhigh,low,5more,4,small,low,unacc,414,1
vhigh,high,4,2,med,med,unacc,166,1
med,low,2,2,big,high,unacc,1196,1
vhigh,med,5more,more,med,low,unacc,318,1
low,vhigh,4,4,med,low,unacc,1362,1
vhigh,med,3,more,small,med,unacc,262,1
low,low,2,more,small,low,unacc,1638,1
vhigh,high,4,2,small,low,unacc,162,1
vhigh,med,5more,2,big,low,unacc,303,1
high,vhigh,3,2,big,med,unacc,466,1
high,low,2,2,big,low,unacc,762,1
high,low,5more,more,small,low,unacc,855,1
low,med,2,2,med,med,unacc,1516,1
high,vhigh,5more,4,med,high,unacc,527,1
vhigh,vhigh,2,2,med,low,unacc,3,1
low,high,2,2,med,high,unacc,1409,1
vhigh,low,3,2,med,low,unacc,354,1
vhigh,high,5more,more,big,low,unacc,213,1
low,high,5more,2,small,high,unacc,1487,1
high,high,2,2,small,med,unacc,541,1
low,low,2,2,med,high,unacc,1625,1
med,med,3,2,big,med,unacc,1114,1
vhigh,vhigh,4,2,small,high,unacc,56,1
high,high,3,2,small,med,unacc,568,1
high,med,2,more,small,med,unacc,667,1
low,low,5more,4,med,low,unacc,1713,1
low,med,3,2,small,med,unacc,1540,1
med,high,2,2,big,high,unacc,980,1
high,med,2,more,med,med,unacc,670,1
vhigh,vhigh,3,2,small,med,unacc,28,1
med,low,3,2,big,med,unacc,1222,1
vhigh,high,3,4,med,med,unacc,148,1
low,med,2,2,small,med,unacc,1513,1
med,high,2,2,small,low,unacc,972,1
high,high,2,4,small,med,unacc,550,1
low,high,4,2,small,high,unacc,1460,1
vhigh,low,2,more,big,low,unacc,348,1
med,vhigh,3,2,big,low,unacc,897,1
vhigh,low,4,more,big,low,unacc,402,1
vhigh,vhigh,5more,2,small,low,unacc,81,1
vhigh,high,3,more,small,low,unacc,153,1
vhigh,vhigh,4,2,big,med,unacc,61,1
high,med,3,2,med,low,unacc,678,1
med,vhigh,5more,4,big,low,unacc,960,1
vhigh,high,2,more,med,high,unacc,131,1
med,med,5more,more,big,low,unacc,1185,1
med,med,2,more,small,high,unacc,1100,1
vhigh,vhigh,4,4,med,med,unacc,67,1
med,low,4,2,med,med,unacc,1246,1
high,vhigh,4,2,med,high,unacc,491,1
med,vhigh,2,2,small,med,unacc,865,1
med,low,4,2,big,low,unacc,1248,1
vhigh,vhigh,2,4,small,high,unacc,11,1
med,high,4,4,small,med,unacc,1036,1
vhigh,low,3,4,small,med,unacc,361,1
high,low,5more,more,small,med,unacc,856,1
low,vhigh,4,more,small,med,unacc,1369,1
med,med,2,more,small,low,unacc,1098,1
high,med,4,more,small,med,unacc,721,1
low,med,4,4,big,low,unacc,1581,1
high,med,2,2,small,high,unacc,650,1
low,high,3,2,big,low,unacc,1437,1
vhigh,vhigh,5more,more,med,med,unacc,103,1
high,med,2,2,small,low,unacc,648,1
high,high,3,2,med,med,unacc,571,1
low,vhigh,2,more,small,med,unacc,1315,1
vhigh,vhigh,3,more,big,med,unacc,52,1
med,med,2,2,med,med,unacc,1084,1
med,high,5more,more,small,low,unacc,1071,1
vhigh,high,5more,2,small,high,unacc,191,1
med,high,5more,2,med,med,unacc,1057,1
high,med,2,4,med,low,unacc,660,1
low,med,4,2,small,med,unacc,1567,1
high,vhigh,4,4,small,high,unacc,497,1
low,high,2,2,small,med,unacc,1405,1
vhigh,high,2,more,small,high,unacc,128,1
med,low,5more,2,small,med,unacc,1270,1
vhigh,high,3,2,small,low,unacc,135,1
vhigh,med,4,2,med,med,unacc,274,1
low,med,2,2,med,high,unacc,1517,1
med,vhigh,4,2,med,high,unacc,923,1
high,med,4,2,small,low,unacc,702,1
low,high,4,2,big,low,unacc,1464,1
