Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,409,2
republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,324,2
republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,343,2
republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,413,2
republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,377,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,30,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,310,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,357,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,403,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228,2
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,132,2
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?,190,2
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,167,2
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,369,2
republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,79,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,133,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,59,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,57,2
republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,191,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,233,2
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,256,2
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302,2
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,125,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87,2
republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,248,2
republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,349,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,38,2
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,306,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,83,2
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,374,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,146,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,330,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135,2
republican,y,n,n,y,y,y,n,n,n,y,n,?,y,y,n,n,282,2
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,2
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,379,2
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,346,2
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,28,2
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,2
republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,18,2
republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,392,2
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,416,2
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,166,2
republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,340,2
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,327,2
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,136,2
republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,432,2
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,2
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355,2
republican,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?,393,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304,2
republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,120,2
republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,364,2
republican,?,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,402,2
republican,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n,399,2
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,126,2
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,158,2
republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,274,2
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171,2
republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,229,2
republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,207,2
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315,2
republican,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n,155,2
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,2
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,153,2
democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,182,2
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,?,234,2
democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,80,2
democrat,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n,2,2
democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?,180,2
democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,98,2
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,193,2
democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n,275,2
democrat,?,?,n,n,?,y,?,n,n,n,y,y,n,y,n,?,390,2
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y,321,2
democrat,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y,370,2
democrat,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?,178,2
democrat,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,124,2
democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?,157,2
democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,102,2
democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y,172,2
democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,13,2
democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,294,2
democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y,334,2
democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y,354,2
democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,129,2
democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,397,2
democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,93,2
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,280,2
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,110,2
democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,362,2
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,237,2
democrat,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?,198,2
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,419,2
democrat,n,y,n,n,y,y,n,n,?,n,n,y,y,y,n,y,325,2
democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,323,2
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y,205,2
democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,85,2
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,118,2
democrat,n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y,341,2
democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?,286,2
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,19,2
democrat,y,?,y,n,n,y,y,y,y,y,n,n,n,n,y,?,329,2
democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,173,2
democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?,358,2
democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,336,2
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,46,2
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,169,2
democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,292,2
democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y,177,2
democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,398,2
democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,20,2
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,265,2
democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,316,2
democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y,226,2
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,39,2
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,202,2
democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,232,2
democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,210,2
democrat,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?,218,2
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,431,2
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,24,2
democrat,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n,372,2
democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,?,382,2
democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,219,2
democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,77,2
democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,375,2
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,263,2
democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,127,2
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,338,2
democrat,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?,297,2
democrat,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?,40,2
democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,383,2
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,201,2
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,44,2
democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?,366,2
democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?,196,2
democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y,208,2
democrat,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?,54,2
democrat,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y,380,2
democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,131,2
democrat,?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y,428,2
