buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
high,med,4,2,med,high,unacc,707,1
high,vhigh,3,2,small,low,unacc,459,1
low,med,5more,2,small,high,unacc,1595,1
med,med,5more,2,med,med,unacc,1165,1
high,high,4,4,small,low,unacc,603,1
high,vhigh,3,4,med,high,unacc,473,1
low,vhigh,4,2,med,high,unacc,1355,1
high,vhigh,4,4,small,high,unacc,497,1
med,vhigh,4,2,med,high,unacc,923,1
high,med,4,4,small,low,unacc,711,1
high,low,2,4,big,low,unacc,771,1
low,low,2,2,big,low,unacc,1626,1
high,med,2,4,med,low,unacc,660,1
low,vhigh,2,2,med,low,unacc,1299,1
high,low,5more,4,small,med,unacc,847,1
vhigh,med,4,2,small,med,unacc,271,1
vhigh,med,3,4,big,low,unacc,258,1
vhigh,high,2,2,small,med,unacc,109,1
low,high,3,more,big,low,unacc,1455,1
low,vhigh,5more,2,small,high,unacc,1379,1
low,med,4,4,small,low,unacc,1575,1
high,vhigh,2,4,small,low,unacc,441,1
low,high,3,2,small,low,unacc,1431,1
low,low,3,4,big,low,unacc,1662,1
high,med,3,more,small,low,unacc,693,1
high,high,5more,more,med,low,unacc,642,1
high,high,2,more,big,low,unacc,564,1
low,high,5more,2,big,high,unacc,1493,1
vhigh,med,2,2,big,low,unacc,222,1
low,med,5more,2,big,med,unacc,1600,1
med,vhigh,2,2,big,high,unacc,872,1
high,vhigh,4,2,small,low,unacc,486,1
med,vhigh,3,more,small,low,unacc,909,1
high,vhigh,2,4,med,high,unacc,446,1
high,high,2,more,med,med,unacc,562,1
vhigh,high,2,4,small,med,unacc,118,1
vhigh,high,4,2,small,med,unacc,163,1
low,low,5more,2,small,high,unacc,1703,1
high,med,2,4,small,med,unacc,658,1
vhigh,high,2,more,med,high,unacc,131,1
low,high,5more,2,big,med,unacc,1492,1
vhigh,low,2,more,med,low,unacc,345,1
high,med,4,2,med,med,unacc,706,1
high,low,2,more,small,med,unacc,775,1
low,med,4,4,big,low,unacc,1581,1
low,med,2,more,small,high,unacc,1532,1
med,high,5more,4,small,med,unacc,1063,1
high,high,2,4,med,med,unacc,553,1
med,high,4,2,big,med,unacc,1033,1
high,low,4,2,small,med,unacc,811,1
vhigh,high,4,2,small,low,unacc,162,1
high,high,5more,2,med,high,unacc,626,1
high,high,5more,more,big,low,unacc,645,1
med,high,5more,more,big,low,unacc,1077,1
vhigh,med,2,more,small,low,unacc,234,1
high,low,4,4,big,low,unacc,825,1
high,vhigh,3,2,big,med,unacc,466,1
vhigh,high,4,2,small,high,unacc,164,1
vhigh,med,5more,2,big,high,unacc,305,1
high,med,3,2,small,med,unacc,676,1
vhigh,vhigh,3,4,small,low,unacc,36,1
low,high,5more,2,small,med,unacc,1486,1
med,vhigh,2,4,small,med,unacc,874,1
med,vhigh,2,2,big,med,unacc,871,1
low,low,2,2,small,med,unacc,1621,1
vhigh,med,4,4,med,low,unacc,282,1
vhigh,vhigh,4,4,small,high,unacc,65,1
high,med,2,4,big,low,unacc,663,1
med,vhigh,4,more,small,med,unacc,937,1
high,high,5more,4,big,low,unacc,636,1
low,med,3,2,small,low,unacc,1539,1
vhigh,vhigh,2,more,big,med,unacc,25,1
vhigh,vhigh,3,more,big,low,unacc,51,1
vhigh,vhigh,2,4,med,med,unacc,13,1
vhigh,high,4,2,med,med,unacc,166,1
low,med,4,more,big,low,unacc,1590,1
low,vhigh,5more,4,big,low,unacc,1392,1
high,med,2,2,big,med,unacc,655,1
med,vhigh,4,2,small,high,unacc,920,1
low,med,2,2,med,high,unacc,1517,1
high,high,5more,2,small,low,unacc,621,1
vhigh,vhigh,3,4,big,low,unacc,42,1
high,med,4,4,med,low,unacc,714,1
low,high,4,2,big,med,unacc,1465,1
high,high,2,more,med,low,unacc,561,1
low,low,5more,4,med,low,unacc,1713,1
vhigh,high,4,more,small,low,unacc,180,1
high,med,4,2,small,med,unacc,703,1
high,vhigh,2,4,small,med,unacc,442,1
vhigh,vhigh,4,more,small,low,unacc,72,1
vhigh,low,5more,more,small,med,unacc,424,1
low,med,2,more,big,low,unacc,1536,1
high,high,4,2,small,med,unacc,595,1
low,vhigh,2,2,small,med,unacc,1297,1
vhigh,low,5more,2,med,low,unacc,408,1
med,vhigh,3,4,med,med,unacc,904,1
high,med,2,2,med,med,unacc,652,1
med,vhigh,5more,2,med,high,unacc,950,1
med,vhigh,2,2,small,med,unacc,865,1
vhigh,vhigh,4,2,big,high,unacc,62,1
high,med,4,more,small,med,unacc,721,1
vhigh,med,4,2,big,high,unacc,278,1
high,high,5more,4,small,low,unacc,630,1
med,vhigh,2,more,med,med,unacc,886,1
vhigh,high,4,4,big,high,unacc,179,1
med,med,2,more,small,med,unacc,1099,1
vhigh,high,5more,4,small,low,unacc,198,1
high,vhigh,4,2,big,med,unacc,493,1
med,vhigh,2,2,small,high,unacc,866,1
high,low,4,more,small,low,unacc,828,1
high,vhigh,5more,more,small,med,unacc,532,1
vhigh,high,3,2,small,med,unacc,136,1
vhigh,vhigh,3,2,med,low,unacc,30,1
low,high,5more,more,big,low,unacc,1509,1
high,med,3,4,small,low,unacc,684,1
high,med,2,more,small,high,unacc,668,1
low,high,5more,more,med,low,unacc,1506,1
vhigh,low,2,more,med,med,unacc,346,1
vhigh,high,2,more,small,high,unacc,128,1
high,vhigh,2,more,small,high,unacc,452,1
vhigh,med,4,more,med,low,unacc,291,1
med,low,2,more,small,med,unacc,1207,1
low,high,2,2,big,med,unacc,1411,1
vhigh,vhigh,3,4,small,med,unacc,37,1
vhigh,vhigh,3,4,big,med,unacc,43,1
vhigh,med,3,2,med,low,unacc,246,1
low,low,3,2,med,low,unacc,1650,1
low,vhigh,5more,4,small,med,unacc,1387,1
low,high,4,4,big,low,unacc,1473,1
med,vhigh,4,more,med,low,unacc,939,1
vhigh,high,2,more,small,low,unacc,126,1
high,low,2,more,med,med,unacc,778,1
