buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
med,low,3,more,small,low,unacc,1233,1
med,low,2,2,big,high,unacc,1196,1
med,med,3,more,big,low,unacc,1131,1
high,low,5more,4,small,low,unacc,846,1
vhigh,vhigh,5more,more,small,med,unacc,100,1
low,med,4,4,med,low,unacc,1578,1
vhigh,low,4,4,big,low,unacc,393,1
low,high,2,more,small,low,unacc,1422,1
vhigh,high,4,4,small,low,unacc,171,1
vhigh,low,3,2,small,high,unacc,353,1
vhigh,high,5more,more,big,low,unacc,213,1
vhigh,low,2,4,big,low,unacc,339,1
med,low,4,2,small,med,unacc,1243,1
low,high,3,2,med,med,unacc,1435,1
low,low,3,4,small,low,unacc,1656,1
low,low,3,2,small,low,unacc,1647,1
high,vhigh,2,more,big,med,unacc,457,1
low,vhigh,5more,4,med,low,unacc,1389,1
vhigh,vhigh,5more,2,med,high,unacc,86,1
high,med,5more,4,small,med,unacc,739,1
vhigh,vhigh,2,more,big,med,unacc,25,1
vhigh,vhigh,2,more,small,low,unacc,18,1
vhigh,low,2,4,small,med,unacc,334,1
med,high,3,more,big,low,unacc,1023,1
vhigh,high,3,more,small,low,unacc,153,1
med,med,2,more,big,low,unacc,1104,1
high,high,3,2,med,med,unacc,571,1
med,med,3,more,med,low,unacc,1128,1
low,high,4,2,med,high,unacc,1463,1
med,med,5more,2,big,high,unacc,1169,1
med,low,4,more,med,low,unacc,1263,1
high,high,4,2,med,med,unacc,598,1
vhigh,low,2,2,med,high,unacc,329,1
low,low,4,4,small,low,unacc,1683,1
high,low,5more,4,small,med,unacc,847,1
vhigh,vhigh,4,2,small,high,unacc,56,1
high,vhigh,5more,more,small,med,unacc,532,1
high,low,3,2,big,low,unacc,789,1
high,med,4,2,med,med,unacc,706,1
low,vhigh,5more,2,med,med,unacc,1381,1
high,vhigh,5more,more,big,med,unacc,538,1
high,vhigh,4,4,big,med,unacc,502,1
high,high,2,4,med,med,unacc,553,1
low,high,5more,2,small,med,unacc,1486,1
high,low,5more,2,big,high,unacc,845,1
vhigh,vhigh,3,more,med,low,unacc,48,1
vhigh,med,2,more,small,low,unacc,234,1
vhigh,med,5more,4,big,low,unacc,312,1
vhigh,vhigh,3,more,small,med,unacc,46,1
vhigh,low,4,4,small,med,unacc,388,1
vhigh,vhigh,4,more,med,med,unacc,76,1
high,vhigh,3,2,med,high,unacc,464,1
vhigh,vhigh,3,2,small,med,unacc,28,1
high,high,2,4,small,med,unacc,550,1
vhigh,low,5more,2,med,high,unacc,410,1
high,low,2,4,med,med,unacc,769,1
vhigh,high,3,4,big,high,unacc,152,1
med,med,5more,2,small,low,unacc,1161,1
high,vhigh,4,more,med,med,unacc,508,1
high,low,5more,2,small,med,unacc,838,1
med,vhigh,2,4,med,low,unacc,876,1
high,vhigh,3,2,small,med,unacc,460,1
high,low,4,2,small,low,unacc,810,1
low,high,5more,4,med,low,unacc,1497,1
vhigh,vhigh,2,2,med,med,unacc,4,1
high,low,4,4,small,low,unacc,819,1
vhigh,med,5more,more,med,low,unacc,318,1
vhigh,med,3,4,med,med,unacc,256,1
high,vhigh,3,2,small,high,unacc,461,1
high,low,2,more,small,high,unacc,776,1
high,med,3,more,big,low,unacc,699,1
med,high,2,2,med,low,unacc,975,1
vhigh,low,5more,4,small,med,unacc,415,1
high,low,2,more,big,low,unacc,780,1
high,low,5more,2,med,med,unacc,841,1
low,med,4,2,big,low,unacc,1572,1
high,high,2,2,med,low,unacc,543,1
high,low,3,2,small,med,unacc,784,1
med,high,2,4,small,low,unacc,981,1
vhigh,med,3,more,small,med,unacc,262,1
vhigh,vhigh,4,2,big,high,unacc,62,1
low,vhigh,4,2,big,med,unacc,1357,1
high,med,4,4,small,med,unacc,712,1
low,low,5more,2,small,med,unacc,1702,1
med,high,3,2,big,low,unacc,1005,1
vhigh,high,5more,4,med,low,unacc,201,1
low,vhigh,4,more,small,med,unacc,1369,1
high,vhigh,3,more,med,high,unacc,482,1
vhigh,high,3,2,med,high,unacc,140,1
med,high,2,4,small,med,unacc,982,1
high,low,4,more,med,low,unacc,831,1
high,low,2,4,small,med,unacc,766,1
low,high,2,4,small,low,unacc,1413,1
vhigh,high,3,2,med,med,unacc,139,1
med,vhigh,4,more,small,low,unacc,936,1
med,med,3,2,big,med,unacc,1114,1
vhigh,vhigh,2,4,big,high,unacc,17,1
