buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
vhigh,high,4,4,med,low,unacc,174,1
low,low,2,more,small,med,unacc,1639,1
med,med,4,2,med,med,unacc,1138,1
low,vhigh,3,2,big,high,unacc,1331,1
high,low,4,2,big,high,unacc,818,1
vhigh,high,3,more,small,high,unacc,155,1
vhigh,high,2,4,med,high,unacc,122,1
low,low,3,2,big,high,unacc,1655,1
low,low,5more,4,med,low,unacc,1713,1
med,high,3,more,med,low,unacc,1020,1
med,low,2,2,small,low,unacc,1188,1
med,vhigh,2,2,small,med,unacc,865,1
vhigh,med,4,4,small,low,unacc,279,1
vhigh,high,4,more,small,high,unacc,182,1
low,high,5more,4,med,low,unacc,1497,1
med,low,5more,2,med,high,unacc,1274,1
low,low,3,2,big,low,unacc,1653,1
med,med,3,2,small,low,unacc,1107,1
vhigh,high,3,4,med,high,unacc,149,1
vhigh,high,4,4,small,low,unacc,171,1
low,low,5more,more,small,low,unacc,1719,1
vhigh,med,2,4,big,low,unacc,231,1
high,low,2,2,small,high,unacc,758,1
vhigh,vhigh,2,more,small,high,unacc,20,1
vhigh,vhigh,2,4,big,high,unacc,17,1
high,vhigh,3,more,med,high,unacc,482,1
low,vhigh,5more,more,small,low,unacc,1395,1
vhigh,vhigh,2,more,big,med,unacc,25,1
high,high,5more,more,big,low,unacc,645,1
med,low,5more,2,big,high,unacc,1277,1
vhigh,vhigh,4,more,small,low,unacc,72,1
low,vhigh,5more,4,med,low,unacc,1389,1
med,med,4,2,small,high,unacc,1136,1
vhigh,high,5more,more,big,high,unacc,215,1
high,low,5more,more,small,med,unacc,856,1
high,vhigh,4,4,small,med,unacc,496,1
med,med,3,more,med,low,unacc,1128,1
high,med,3,2,small,low,unacc,675,1
vhigh,high,5more,2,small,high,unacc,191,1
vhigh,med,3,4,small,med,unacc,253,1
vhigh,vhigh,3,2,small,low,unacc,27,1
vhigh,vhigh,4,2,med,high,unacc,59,1
vhigh,vhigh,5more,4,big,high,unacc,98,1
low,vhigh,4,4,small,med,unacc,1360,1
high,med,3,more,big,low,unacc,699,1
med,vhigh,3,4,med,med,unacc,904,1
low,high,3,2,med,high,unacc,1436,1
low,vhigh,4,2,small,med,unacc,1351,1
high,vhigh,2,4,med,med,unacc,445,1
low,med,2,2,med,low,unacc,1515,1
vhigh,high,5more,2,big,med,unacc,196,1
vhigh,vhigh,3,2,big,low,unacc,33,1
high,vhigh,2,4,small,low,unacc,441,1
vhigh,high,2,4,med,med,unacc,121,1
med,low,3,more,med,low,unacc,1236,1
vhigh,high,5more,2,med,low,unacc,192,1
low,low,5more,2,big,med,unacc,1708,1
low,vhigh,4,4,small,low,unacc,1359,1
med,high,2,2,small,med,unacc,973,1
med,med,2,2,small,med,unacc,1081,1
med,vhigh,3,more,med,low,unacc,912,1
vhigh,med,5more,more,small,low,unacc,315,1
low,low,2,2,small,high,unacc,1622,1
med,high,2,4,big,low,unacc,987,1
low,med,2,more,small,high,unacc,1532,1
high,med,2,2,big,low,unacc,654,1
vhigh,low,3,2,med,low,unacc,354,1
low,vhigh,3,more,small,med,unacc,1342,1
med,med,2,more,big,low,unacc,1104,1
low,vhigh,4,2,med,low,unacc,1353,1
vhigh,high,3,4,med,med,unacc,148,1
med,vhigh,4,4,small,med,unacc,928,1
vhigh,vhigh,5more,more,small,high,unacc,101,1
vhigh,low,5more,more,small,med,unacc,424,1
high,med,2,more,small,low,unacc,666,1
low,med,5more,more,big,low,unacc,1617,1
high,med,5more,4,big,low,unacc,744,1
low,vhigh,2,2,small,med,unacc,1297,1
high,med,5more,2,small,low,unacc,729,1
vhigh,vhigh,5more,4,small,med,unacc,91,1
vhigh,low,4,more,big,low,unacc,402,1
high,med,5more,2,med,med,unacc,733,1
high,low,4,2,med,high,unacc,815,1
vhigh,med,4,2,big,high,unacc,278,1
vhigh,low,2,4,med,med,unacc,337,1
low,vhigh,4,2,small,high,unacc,1352,1
low,low,2,2,small,low,unacc,1620,1
med,vhigh,2,4,small,low,unacc,873,1
vhigh,low,3,more,small,low,unacc,369,1
vhigh,high,3,more,med,low,unacc,156,1
med,low,5more,2,small,med,unacc,1270,1
low,med,5more,2,small,high,unacc,1595,1
vhigh,med,5more,more,big,low,unacc,321,1
med,vhigh,5more,2,big,med,unacc,952,1
med,vhigh,4,4,small,low,unacc,927,1
med,med,3,4,small,low,unacc,1116,1
low,med,2,4,med,low,unacc,1524,1
high,high,5more,2,big,high,unacc,629,1
low,high,2,more,med,low,unacc,1425,1
high,vhigh,4,4,small,high,unacc,497,1
vhigh,high,5more,4,med,med,unacc,202,1
vhigh,vhigh,4,2,small,high,unacc,56,1
high,high,3,4,small,med,unacc,577,1
med,high,5more,2,small,med,unacc,1054,1
vhigh,low,2,4,small,low,unacc,333,1
low,med,2,2,med,high,unacc,1517,1
vhigh,high,2,more,big,high,unacc,134,1
low,high,3,2,big,med,unacc,1438,1
low,med,5more,4,small,low,unacc,1602,1
low,high,2,2,big,low,unacc,1410,1
high,vhigh,5more,4,small,high,unacc,524,1
vhigh,high,5more,2,small,low,unacc,189,1
high,vhigh,2,4,big,low,unacc,447,1
med,high,5more,2,small,low,unacc,1053,1
high,vhigh,5more,4,big,high,unacc,530,1
