buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
low,high,5more,2,big,med,unacc,1492,2
high,vhigh,5more,2,med,low,unacc,516,2
vhigh,high,3,more,med,low,unacc,156,2
med,low,2,2,small,med,unacc,1189,2
vhigh,vhigh,5more,more,small,low,unacc,99,2
vhigh,med,3,4,big,low,unacc,258,2
vhigh,low,4,4,med,low,unacc,390,2
high,high,5more,2,small,low,unacc,621,2
vhigh,high,5more,more,small,high,unacc,209,2
vhigh,vhigh,5more,4,small,low,unacc,90,2
high,vhigh,5more,2,big,low,unacc,519,2
low,low,5more,2,med,med,unacc,1705,2
low,low,3,2,small,low,unacc,1647,2
med,low,3,more,med,low,unacc,1236,2
high,vhigh,3,4,small,high,unacc,470,2
high,vhigh,5more,4,small,med,unacc,523,2
low,low,4,2,small,low,unacc,1674,2
vhigh,low,2,2,med,low,unacc,327,2
high,med,4,2,med,med,unacc,706,2
med,med,3,2,med,high,unacc,1112,2
vhigh,med,3,more,med,low,unacc,264,2
med,med,3,4,small,low,unacc,1116,2
med,vhigh,4,4,small,low,unacc,927,2
med,low,2,more,med,low,unacc,1209,2
high,vhigh,3,more,big,high,unacc,485,2
vhigh,med,5more,2,small,low,unacc,297,2
med,low,5more,4,big,low,unacc,1284,2
vhigh,high,3,4,big,low,unacc,150,2
vhigh,low,5more,2,med,med,unacc,409,2
low,high,4,more,big,low,unacc,1482,2
vhigh,high,2,2,big,low,unacc,114,2
vhigh,low,2,more,med,med,unacc,346,2
vhigh,high,2,4,big,high,unacc,125,2
med,med,3,2,big,low,unacc,1113,2
vhigh,vhigh,2,4,big,low,unacc,15,2
high,med,5more,more,small,low,unacc,747,2
low,vhigh,2,2,small,med,unacc,1297,2
low,vhigh,5more,4,med,low,unacc,1389,2
med,high,4,2,big,high,unacc,1034,2
low,med,3,2,med,low,unacc,1542,2
vhigh,low,3,4,small,med,unacc,361,2
vhigh,high,4,4,big,med,unacc,178,2
high,vhigh,2,4,med,med,unacc,445,2
med,high,5more,2,big,med,unacc,1060,2
vhigh,high,3,more,big,low,unacc,159,2
vhigh,med,3,2,med,high,unacc,248,2
low,med,5more,more,big,low,unacc,1617,2
med,high,2,2,big,med,unacc,979,2
low,med,3,2,big,high,unacc,1547,2
high,high,3,2,small,high,unacc,569,2
vhigh,vhigh,5more,4,big,med,unacc,97,2
low,vhigh,2,more,small,med,unacc,1315,2
med,low,3,2,big,low,unacc,1221,2
vhigh,high,2,more,small,high,unacc,128,2
vhigh,low,2,2,med,med,unacc,328,2
