Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,146,1
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,126,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,1
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,122,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,374,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,57,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,1
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,166,1
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,7,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,121,1
republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,296,1
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,167,1
republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,79,1
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,225,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,125,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,306,1
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,1
republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,392,1
republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,313,1
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433,1
republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,349,1
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163,1
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,1
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135,1
republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,18,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,434,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,230,1
republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,229,1
republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,123,1
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,107,1
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,416,1
republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?,335,1
republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,36,1
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,310,1
republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,274,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,106,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305,1
republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,277,1
republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,10,1
republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,71,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228,1
republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,89,1
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140,1
republican,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n,155,1
