buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
low,high,3,4,big,low,unacc,1446,2
vhigh,vhigh,5more,4,big,high,unacc,98,2
med,low,2,2,small,med,unacc,1189,2
vhigh,low,3,2,small,low,unacc,351,2
med,med,4,2,med,med,unacc,1138,2
high,med,2,2,med,med,unacc,652,2
vhigh,low,5more,2,med,med,unacc,409,2
high,low,4,more,small,low,unacc,828,2
med,high,2,4,small,med,unacc,982,2
vhigh,vhigh,4,2,med,high,unacc,59,2
med,med,3,4,small,low,unacc,1116,2
high,high,5more,4,big,low,unacc,636,2
high,vhigh,4,2,small,med,unacc,487,2
high,med,5more,4,small,med,unacc,739,2
med,med,4,4,med,low,unacc,1146,2
high,vhigh,2,4,med,high,unacc,446,2
low,med,4,4,med,low,unacc,1578,2
vhigh,med,3,4,small,low,unacc,252,2
vhigh,low,4,4,med,low,unacc,390,2
med,med,4,2,small,high,unacc,1136,2
high,high,3,4,med,med,unacc,580,2
high,low,5more,2,small,low,unacc,837,2
high,high,4,4,med,low,unacc,606,2
med,low,4,2,med,high,unacc,1247,2
vhigh,low,4,2,med,low,unacc,381,2
high,high,4,2,big,high,unacc,602,2
vhigh,vhigh,4,more,med,med,unacc,76,2
vhigh,med,4,4,small,med,unacc,280,2
vhigh,med,5more,4,big,low,unacc,312,2
vhigh,low,3,2,med,med,unacc,355,2
high,low,3,2,big,low,unacc,789,2
high,high,2,4,small,low,unacc,549,2
low,med,5more,more,small,low,unacc,1611,2
vhigh,high,4,4,small,med,unacc,172,2
low,high,5more,4,small,low,unacc,1494,2
med,low,2,more,small,high,unacc,1208,2
low,vhigh,2,more,med,med,unacc,1318,2
vhigh,vhigh,2,4,small,med,unacc,10,2
high,low,3,2,small,high,unacc,785,2
high,vhigh,5more,more,big,med,unacc,538,2
low,high,4,4,med,low,unacc,1470,2
med,vhigh,2,more,small,high,unacc,884,2
med,med,5more,4,big,low,unacc,1176,2
low,high,2,2,med,low,unacc,1407,2
high,vhigh,3,more,big,high,unacc,485,2
low,vhigh,2,4,big,low,unacc,1311,2
vhigh,vhigh,4,4,small,med,unacc,64,2
vhigh,vhigh,2,more,med,med,unacc,22,2
med,low,5more,2,big,low,unacc,1275,2
vhigh,high,3,4,big,low,unacc,150,2
med,vhigh,3,more,med,low,unacc,912,2
low,high,5more,2,med,high,unacc,1490,2
high,med,3,4,small,low,unacc,684,2
med,high,3,2,big,high,unacc,1007,2
vhigh,high,3,2,med,med,unacc,139,2
low,vhigh,2,2,small,low,unacc,1296,2
high,low,2,2,small,low,unacc,756,2
high,vhigh,5more,4,small,high,unacc,524,2
vhigh,high,5more,more,big,med,unacc,214,2
med,low,2,4,big,low,unacc,1203,2
high,low,4,2,big,high,unacc,818,2
vhigh,high,4,4,big,high,unacc,179,2
med,vhigh,2,4,med,low,unacc,876,2
vhigh,vhigh,4,more,small,high,unacc,74,2
low,vhigh,5more,2,small,med,unacc,1378,2
high,low,2,more,small,low,unacc,774,2
low,vhigh,2,2,small,med,unacc,1297,2
med,vhigh,2,more,small,med,unacc,883,2
high,low,4,more,big,low,unacc,834,2
med,med,4,4,small,low,unacc,1143,2
med,high,3,2,med,med,unacc,1003,2
high,low,2,4,big,low,unacc,771,2
med,high,3,4,big,low,unacc,1014,2
low,vhigh,5more,4,small,med,unacc,1387,2
low,low,2,more,med,low,unacc,1641,2
vhigh,vhigh,4,4,small,low,unacc,63,2
high,med,3,more,big,low,unacc,699,2
high,vhigh,4,4,small,low,unacc,495,2
med,vhigh,2,4,small,med,unacc,874,2
med,low,3,2,med,low,unacc,1218,2
low,med,5more,more,big,low,unacc,1617,2
med,vhigh,3,2,med,med,unacc,895,2
med,med,5more,2,big,med,unacc,1168,2
med,vhigh,5more,2,small,high,unacc,947,2
low,med,4,2,big,med,unacc,1573,2
vhigh,high,2,4,big,low,unacc,123,2
vhigh,low,5more,4,med,low,unacc,417,2
vhigh,low,2,4,big,low,unacc,339,2
med,med,3,more,small,low,unacc,1125,2
med,high,5more,4,big,low,unacc,1068,2
high,vhigh,4,more,small,med,unacc,505,2
med,med,2,4,small,low,unacc,1089,2
high,high,5more,more,big,low,unacc,645,2
med,low,3,more,small,low,unacc,1233,2
high,vhigh,2,4,med,low,unacc,444,2
vhigh,high,2,more,big,low,unacc,132,2
low,high,2,2,small,high,unacc,1406,2
low,vhigh,5more,2,small,high,unacc,1379,2
vhigh,vhigh,4,more,small,low,unacc,72,2
med,med,2,2,med,high,unacc,1085,2
high,med,2,2,med,high,unacc,653,2
low,vhigh,3,2,small,high,unacc,1325,2
med,med,3,2,med,high,unacc,1112,2
med,high,2,2,small,high,unacc,974,2
vhigh,med,5more,more,small,med,unacc,316,2
vhigh,high,5more,2,big,low,unacc,195,2
med,high,2,2,big,med,unacc,979,2
vhigh,high,3,more,big,high,unacc,161,2
high,low,4,2,med,med,unacc,814,2
high,med,5more,more,small,low,unacc,747,2
high,low,5more,2,small,med,unacc,838,2
low,high,5more,2,small,low,unacc,1485,2
low,low,3,more,big,low,unacc,1671,2
low,low,2,2,small,high,unacc,1622,2
high,vhigh,4,2,med,med,unacc,490,2
low,vhigh,3,2,big,high,unacc,1331,2
vhigh,vhigh,4,4,small,high,unacc,65,2
high,low,3,2,med,low,unacc,786,2
med,high,4,4,small,low,unacc,1035,2
vhigh,vhigh,3,more,med,low,unacc,48,2
med,vhigh,2,2,small,high,unacc,866,2
low,high,5more,more,med,low,unacc,1506,2
high,high,2,more,small,med,unacc,559,2
med,high,5more,more,big,low,unacc,1077,2
low,high,2,2,med,med,unacc,1408,2
vhigh,vhigh,3,2,big,low,unacc,33,2
med,vhigh,4,2,small,high,unacc,920,2
high,vhigh,3,2,big,low,unacc,465,2
low,high,4,4,small,low,unacc,1467,2
med,high,2,more,big,low,unacc,996,2
high,vhigh,4,2,big,low,unacc,492,2
high,vhigh,5more,more,big,high,unacc,539,2
high,high,5more,2,small,low,unacc,621,2
high,low,2,2,small,high,unacc,758,2
vhigh,low,2,2,big,med,unacc,331,2
high,high,3,4,small,med,unacc,577,2
high,high,2,more,med,low,unacc,561,2
low,med,2,2,big,high,unacc,1520,2
low,med,4,2,med,high,unacc,1571,2
vhigh,med,5more,2,small,high,unacc,299,2
med,med,2,2,big,med,unacc,1087,2
vhigh,high,3,4,big,high,unacc,152,2
high,vhigh,5more,more,med,low,unacc,534,2
high,low,3,2,small,low,unacc,783,2
med,low,2,2,med,med,unacc,1192,2
vhigh,med,4,2,big,low,unacc,276,2
vhigh,high,3,more,big,low,unacc,159,2
high,vhigh,4,2,big,high,unacc,494,2
vhigh,vhigh,5more,4,med,med,unacc,94,2
low,high,3,2,big,med,unacc,1438,2
high,high,2,4,big,low,unacc,555,2
high,high,4,more,big,low,unacc,618,2
high,vhigh,3,2,med,high,unacc,464,2
high,vhigh,3,more,big,med,unacc,484,2
vhigh,vhigh,2,2,small,high,unacc,2,2
vhigh,vhigh,3,2,big,med,unacc,34,2
high,vhigh,3,2,med,med,unacc,463,2
high,med,4,2,med,med,unacc,706,2
high,high,2,2,small,high,unacc,542,2
vhigh,med,5more,2,small,med,unacc,298,2
vhigh,vhigh,5more,4,med,high,unacc,95,2
vhigh,low,2,2,big,high,unacc,332,2
med,med,3,more,big,low,unacc,1131,2
vhigh,vhigh,2,4,big,low,unacc,15,2
med,vhigh,5more,more,big,low,unacc,969,2
high,high,4,2,small,low,unacc,594,2
vhigh,med,2,2,big,med,unacc,223,2
high,med,2,4,big,low,unacc,663,2
med,low,5more,2,small,high,unacc,1271,2
high,med,4,2,med,high,unacc,707,2
med,low,2,more,small,low,unacc,1206,2
vhigh,high,4,more,med,high,unacc,185,2
