nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,physician-fee-freeze,,democrat,1,"{'y': np.int64(2), 'n': np.int64(3), '?': np.int64(4)}",True,False,,['physician-fee-freeze']
2,1,education-spending,,republican,2,"{'?': np.int64(5), 'y': np.int64(6), 'n': np.int64(7)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'education-spending']"
3,1,adoption-of-the-budget-resolution,,democrat,2,"{'n': np.int64(8), 'y': np.int64(9), '?': np.int64(10)}",False,False,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']"
4,1,mx-missile,,democrat,2,"{'?': np.int64(11), 'y': np.int64(12), 'n': np.int64(13)}",False,False,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'mx-missile']"
5,2,mx-missile,,republican,3,"{'n': np.int64(14), 'y': np.int64(15)}",False,False,`physician-fee-freeze`=='y' & `education-spending`=='?',"['physician-fee-freeze', 'education-spending', 'mx-missile']"
6,2,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17), '?': np.int64(18)}",False,False,`physician-fee-freeze`=='y' & `education-spending`=='y',"['physician-fee-freeze', 'education-spending', 'mx-missile']"
7,2,superfund-right-to-sue,,republican,3,"{'n': np.int64(19), 'y': np.int64(20), '?': np.int64(21)}",False,False,`physician-fee-freeze`=='y' & `education-spending`=='n',"['physician-fee-freeze', 'education-spending', 'superfund-right-to-sue']"
8,3,religious-groups-in-schools,,democrat,3,"{'n': np.int64(22), 'y': np.int64(23)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools']"
9,3,mx-missile,,democrat,3,"{'y': np.int64(24), 'n': np.int64(25), '?': np.int64(26)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile']"
10,3,,,democrat,3,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']"
11,4,,,republican,3,,False,True,`physician-fee-freeze`=='?' & `mx-missile`=='?',"['physician-fee-freeze', 'mx-missile']"
12,4,aid-to-nicaraguan-contras,,democrat,3,"{'y': np.int64(27), '?': np.int64(28)}",False,False,`physician-fee-freeze`=='?' & `mx-missile`=='y',"['physician-fee-freeze', 'mx-missile', 'aid-to-nicaraguan-contras']"
13,4,aid-to-nicaraguan-contras,,democrat,3,"{'y': np.int64(29), 'n': np.int64(30)}",False,False,`physician-fee-freeze`=='?' & `mx-missile`=='n',"['physician-fee-freeze', 'mx-missile', 'aid-to-nicaraguan-contras']"
14,5,aid-to-nicaraguan-contras,,republican,4,"{'?': np.int64(31), 'n': np.int64(32)}",False,False,`physician-fee-freeze`=='y' & `education-spending`=='?' & `mx-missile`=='n',"['physician-fee-freeze', 'education-spending', 'mx-missile', 'aid-to-nicaraguan-contras']"
15,5,,,democrat,4,,False,True,`physician-fee-freeze`=='y' & `education-spending`=='?' & `mx-missile`=='y',"['physician-fee-freeze', 'education-spending', 'mx-missile']"
