nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,physician-fee-freeze,,democrat,1,"{'?': np.int64(2), 'y': np.int64(3), 'n': np.int64(4)}",True,False,,['physician-fee-freeze']
2,1,mx-missile,,democrat,2,"{'?': np.int64(5), 'n': np.int64(6), 'y': np.int64(7)}",False,False,`physician-fee-freeze`=='?',"['physician-fee-freeze', 'mx-missile']"
3,1,synfuels-corporation-cutback,,republican,2,"{'n': np.int64(8), 'y': np.int64(9), '?': np.int64(10)}",False,False,`physician-fee-freeze`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback']"
4,1,adoption-of-the-budget-resolution,,democrat,2,"{'n': np.int64(11), 'y': np.int64(12), '?': np.int64(13)}",False,False,`physician-fee-freeze`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution']"
5,2,,,republican,3,,False,True,`physician-fee-freeze`=='?' & `mx-missile`=='?',"['physician-fee-freeze', 'mx-missile']"
6,2,aid-to-nicaraguan-contras,,democrat,3,"{'n': np.int64(14), 'y': np.int64(15)}",False,False,`physician-fee-freeze`=='?' & `mx-missile`=='n',"['physician-fee-freeze', 'mx-missile', 'aid-to-nicaraguan-contras']"
7,2,,,democrat,3,,False,True,`physician-fee-freeze`=='?' & `mx-missile`=='y',"['physician-fee-freeze', 'mx-missile']"
8,3,mx-missile,,republican,3,"{'n': np.int64(16), 'y': np.int64(17), '?': np.int64(18)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile']"
9,3,immigration,,republican,3,"{'y': np.int64(19), 'n': np.int64(20)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration']"
10,3,anti-satellite-test-ban,,republican,3,"{'?': np.int64(21), 'n': np.int64(22)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'anti-satellite-test-ban']"
11,4,religious-groups-in-schools,,democrat,3,"{'n': np.int64(23), 'y': np.int64(24)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools']"
12,4,mx-missile,,democrat,3,"{'n': np.int64(25), 'y': np.int64(26), '?': np.int64(27)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile']"
13,4,mx-missile,,democrat,3,"{'n': np.int64(28), 'y': np.int64(29)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile']"
14,6,,,democrat,4,,False,True,`physician-fee-freeze`=='?' & `mx-missile`=='n' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'mx-missile', 'aid-to-nicaraguan-contras']"
15,6,,,democrat,4,,False,True,`physician-fee-freeze`=='?' & `mx-missile`=='n' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'mx-missile', 'aid-to-nicaraguan-contras']"
16,8,export-administration-act-south-africa,,republican,4,"{'?': np.int64(30), 'y': np.int64(31), 'n': np.int64(32)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa']"
