learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,6,6,41400,414,1656,1.5229613868531695,,1.498693612711518
0.001,6,13,41400,414,1242,1.5336381315615997,,1.498693612711518
0.001,6,27,41400,414,1242,1.5135809078709723,,1.498693612711518
0.001,6,54,41400,414,828,1.5023994085781371,,1.498693612711518
0.001,13,6,41400,414,1656,1.5189288879782172,,1.498693612711518
0.001,13,13,41400,414,1242,1.529520750067091,,1.498693612711518
0.001,13,27,41400,414,828,1.5130395261569463,,1.498693612711518
0.001,13,54,41400,414,1242,1.6299088146671592,,1.498693612711518
0.001,27,6,41400,414,1656,1.5203292726275333,,1.498693612711518
0.001,27,13,41400,414,1242,1.52296117993296,,1.498693612711518
0.001,27,27,41400,414,828,1.5238521200630464,,1.498693612711518
0.001,27,54,41400,414,1242,1.505407817407694,,1.498693612711518
0.001,54,6,41400,414,1656,1.5242671752514707,,1.498693612711518
0.001,54,13,41400,414,1242,1.52738448472246,,1.498693612711518
0.001,54,27,41400,414,1242,1.5180243663158035,,1.498693612711518
0.001,54,54,41400,414,1242,1.5083664521193494,,1.498693612711518
