learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,1,1,16800,168,1344,17814.514410450454,,23190.086167800448
0.001,1,3,16800,168,1344,13214.437366917598,,23190.086167800448
0.001,1,6,16800,168,1008,26311.98891924622,,23190.086167800448
0.001,1,12,16800,168,672,25028.785196366858,,23190.086167800448
0.001,1,24,16800,168,336,15469.754284363069,,23190.086167800448
0.001,3,1,16800,168,1680,16662.546577113408,,23190.086167800448
0.001,3,3,16800,168,1344,12165.865358113388,,23190.086167800448
0.001,3,6,16800,168,840,13674.593004293432,,23190.086167800448
0.001,3,12,16800,168,840,11499.168078317238,,23190.086167800448
0.001,3,24,16800,168,672,6897.5947857193905,,23190.086167800448
0.001,6,1,16800,168,1680,16113.806617907248,,23190.086167800448
0.001,6,3,16800,168,1176,12844.986606978931,,23190.086167800448
0.001,6,6,16800,168,672,12828.647652033906,,23190.086167800448
0.001,6,12,16800,168,504,11543.729026133133,,23190.086167800448
0.001,6,24,16800,168,504,12753.37451430372,,23190.086167800448
0.001,12,1,16800,168,1680,16482.226922096288,,23190.086167800448
0.001,12,3,16800,168,840,15247.182178791894,,23190.086167800448
0.001,12,6,16800,168,504,15215.62507506087,,23190.086167800448
0.001,12,12,16800,168,672,11164.451525652108,,23190.086167800448
0.001,12,24,16800,168,336,10348.206579611311,,23190.086167800448
0.001,24,1,16800,168,1680,16687.531397930572,,23190.086167800448
0.001,24,3,16800,168,840,15414.807439939017,,23190.086167800448
0.001,24,6,16800,168,1008,14734.829605937955,,23190.086167800448
0.001,24,12,16800,168,672,13103.990128092313,,23190.086167800448
0.001,24,24,16800,168,672,17230.69634977706,,23190.086167800448
0.01,1,1,16800,168,504,23190.111093807893,,23190.086167800448
0.01,1,3,16800,168,336,23301.828561070568,,23190.086167800448
0.01,1,6,16800,168,336,23199.526256160643,,23190.086167800448
0.01,1,12,16800,168,504,21777.9440789357,,23190.086167800448
0.01,1,24,16800,168,672,22242.464940146307,,23190.086167800448
0.01,3,1,16800,168,336,23244.074934051427,,23190.086167800448
0.01,3,3,16800,168,336,22634.943909458332,,23190.086167800448
0.01,3,6,16800,168,504,23607.017166609054,,23190.086167800448
0.01,3,12,16800,168,672,23228.938634892256,,23190.086167800448
0.01,3,24,16800,168,336,21775.80992222876,,23190.086167800448
0.01,6,1,16800,168,672,23189.769717909996,,23190.086167800448
0.01,6,3,16800,168,504,23195.87096287102,,23190.086167800448
0.01,6,6,16800,168,504,23206.299563466717,,23190.086167800448
0.01,6,12,16800,168,840,14554.003381150842,,23190.086167800448
0.01,6,24,16800,168,336,27903.397622572906,,23190.086167800448
0.01,12,1,16800,168,336,23433.09463108912,,23190.086167800448
0.01,12,3,16800,168,336,23353.434670481016,,23190.086167800448
0.01,12,6,16800,168,336,23807.30610055907,,23190.086167800448
0.01,12,12,16800,168,336,32519.541798814484,,23190.086167800448
0.01,12,24,16800,168,336,23193.06779144784,,23190.086167800448
0.01,24,1,16800,168,336,23314.86748651027,,23190.086167800448
0.01,24,3,16800,168,336,17349.123507549477,,23190.086167800448
0.01,24,6,16800,168,336,23333.36099267438,,23190.086167800448
0.01,24,12,16800,168,336,30816.06089973993,,23190.086167800448
0.01,24,24,16800,168,336,20667.5125105197,,23190.086167800448
