learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,1,1,16800,168,1680,26127.414304192356,,32356.99149659862
0.001,1,3,16800,168,1008,27410.154692480868,,32356.99149659862
0.001,1,6,16800,168,1008,20889.85759877656,,32356.99149659862
0.001,1,12,16800,168,1008,17864.857649893027,,32356.99149659862
0.001,1,24,16800,168,672,22355.09543511399,,32356.99149659862
0.001,3,1,16800,168,1680,25609.612988796405,,32356.99149659862
0.001,3,3,16800,168,1008,23919.49047535609,,32356.99149659862
0.001,3,6,16800,168,672,37258.201173374124,,32356.99149659862
0.001,3,12,16800,168,504,22977.532960400964,,32356.99149659862
0.001,3,24,16800,168,504,19348.91153931744,,32356.99149659862
0.001,6,1,16800,168,1848,25090.184121319613,,32356.99149659862
0.001,6,3,16800,168,840,25502.40387129011,,32356.99149659862
0.001,6,6,16800,168,1008,19796.1770058988,,32356.99149659862
0.001,6,12,16800,168,672,20609.42007959611,,32356.99149659862
0.001,6,24,16800,168,336,22444.20780320755,,32356.99149659862
0.001,12,1,16800,168,1680,25515.711174348413,,32356.99149659862
0.001,12,3,16800,168,2016,18128.00416183016,,32356.99149659862
0.001,12,6,16800,168,840,20781.47984209439,,32356.99149659862
0.001,12,12,16800,168,840,16487.945713627916,,32356.99149659862
0.001,12,24,16800,168,672,20086.29619315627,,32356.99149659862
0.001,24,1,16800,168,1848,25371.668389412003,,32356.99149659862
0.001,24,3,16800,168,1176,22270.179418122316,,32356.99149659862
0.001,24,6,16800,168,1008,20856.078781415188,,32356.99149659862
0.001,24,12,16800,168,672,20632.46194937699,,32356.99149659862
0.001,24,24,16800,168,672,19746.611565710296,,32356.99149659862
0.01,1,1,16800,168,336,26133.347936911072,,32356.99149659862
0.01,1,3,16800,168,504,29191.09751178817,,32356.99149659862
0.01,1,6,16800,168,336,26086.2971671831,,32356.99149659862
0.01,1,12,16800,168,840,26553.442563832505,,32356.99149659862
0.01,1,24,16800,168,336,20417.29951828674,,32356.99149659862
0.01,3,1,16800,168,504,32607.917975242028,,32356.99149659862
0.01,3,3,16800,168,672,28802.919241273376,,32356.99149659862
0.01,3,6,16800,168,336,32401.233505557757,,32356.99149659862
0.01,3,12,16800,168,1176,19142.740214735513,,32356.99149659862
0.01,3,24,16800,168,504,44826.82925848363,,32356.99149659862
0.01,6,1,16800,168,336,32395.097458648,,32356.99149659862
0.01,6,3,16800,168,336,30784.93732069034,,32356.99149659862
0.01,6,6,16800,168,336,32387.62199189694,,32356.99149659862
0.01,6,12,16800,168,840,29309.58325002554,,32356.99149659862
0.01,6,24,16800,168,336,24661.69730588987,,32356.99149659862
0.01,12,1,16800,168,336,32427.770030791926,,32356.99149659862
0.01,12,3,16800,168,672,23894.25085752354,,32356.99149659862
0.01,12,6,16800,168,504,27127.13785598466,,32356.99149659862
0.01,12,12,16800,168,336,30676.17524353342,,32356.99149659862
0.01,12,24,16800,168,336,25783.26167791482,,32356.99149659862
0.01,24,1,16800,168,504,32516.45551218774,,32356.99149659862
0.01,24,3,16800,168,336,32433.15506326006,,32356.99149659862
0.01,24,6,16800,168,336,26378.629257386474,,32356.99149659862
0.01,24,12,16800,168,336,32858.60630440205,,32356.99149659862
0.01,24,24,16800,168,504,33422.06807570658,,32356.99149659862
